text1,text2,distance
Hedonistic sexuality and sexual equality imply opposing conceptions of how people should be valued.,"Hedonistic sexuality emphasizes that both partners should enjoy sexual relationships. This places more value on other people than many forms of sexuality, such as those that see sex as a means of pleasuring men only.",1
Hedonistic sexuality and sexual equality imply opposing conceptions of how people should be valued.,The conflation between a person's value and openness about their sexual needs and desires is itself patriarchal.,1
Having sex for pleasure detracts from true love.,Sexual pleasure and love are neither mutually exclusive nor zero-sum.,1
Having sex for pleasure detracts from true love.,Sex for pleasure is often one of the first steps to falling in love with someone.,1
Having sex for pleasure detracts from true love.,"There is no such thing as true love; just a spectrum of compatibility across different metrics, one of which includes sexual compatibility.",1
Many studies report that people who have one night stands suffer feelings of regret and depression that can negatively impact their ability to form relationships.,It is common for relationships to begin as one night stands.,1
"If hedonistic sex is normalized, people will be less interested in forming lasting, loving relationships, as sex will be easily available and unconnected to emotional bonding with a partner.",Sexual pleasure and love are neither mutually exclusive nor zero-sum.,1
"Some people argue that sexual pleasure increases when one is in a loving, long-term relationship",Sexual pleasure and love are neither mutually exclusive nor zero-sum.,1
"This could be a bad thing if one frequently has sex with multiple partners, as they could develop conflicting feelings towards many different people.",Sex for pleasure is often one of the first steps to falling in love with someone.,1
"This could be a bad thing if one frequently has sex with multiple partners, as they could develop conflicting feelings towards many different people.","Polyamory, in which an individual has romantic relationships with more than one person, is becoming increasingly accepted as a mainstream lifestyle choice.",1
"Sex for pleasure involves the objectification of other people, and objectification commodifies sex.","Sex is already a commodity, in part because people are sexually repressed enough that it must be available as such. It is the lack of hedonistic sexuality in everyday life that creates a taboo culture that consigns this normal human need to commodity status.",1
"Sex for pleasure involves the objectification of other people, and objectification commodifies sex.",There is no necessary link between sex for pleasure and the devaluation of people. One can take place without the other.,1
"One individual maximising their pleasure may prevent another individual from maximising their pleasure. Therefore, individual hedonistic pleasure optimisation does not work for everybody and is harmful to the collective.","Hedonism is not about maximising one's pleasure, regardless of the consequences. Pleasure can be pursued in a way that respects and benefits others.",1
A person who derives sexual pleasure from illicit acts like sexual abuse or rape would only be able to maximise their pleasure at the expense of others.,"Sexual abuse or rape would not fall under the category of 'sex for pleasure.' Thus, this practice would be condemned in a society that's shifting more toward accepting hedonistic sexual practices.",1
"In a capitalist society, value is placed directly on to what one can do for others. Sex is one example of this.",Personal relationships and how we value each other are usually not based on capitalistic considerations.,1
Sex for pleasure implies that the sex lacks a deeper emotional bond between the partners and merely seeks to fulfill some form of physical gratification.,There is no necessary link between sex for pleasure and the devaluation of people. One can take place without the other.,1
Sex for pleasure implies that the sex lacks a deeper emotional bond between the partners and merely seeks to fulfill some form of physical gratification.,"Sex for pleasure can be performed with a best friend, the deepest emotional bond in existence. It is not 'merely,' the lack of a bond is not necessary.",1
"If sex is easier to come by, it may reduce the incentive for individuals to learn how to pleasure a particular partner, as they could find someone else with minimal effort.",Embracing sex in this way will create a greater need to learn how to generate that pleasure.,1
"This point does not address feminism. The debate is whether hedonistic sex harms feminism, not whether it leads to more fulfilling sex.",Embracing sex for pleasure will ultimately lead to more fulfilling sex and a stronger relationship between a couple.,1
"This point does not address feminism. The debate is whether hedonistic sex harms feminism, not whether it leads to more fulfilling sex.",More fulfilling sex is a goal of feminism.,1
"Men could be educated to understand that sex is not just about their own pleasure, but this should not imply an acceptance of hedonistic sexual practices.","Hedonistic sexuality emphasizes that both partners should enjoy sexual relationships. This places more value on other people than many forms of sexuality, such as those that see sex as a means of pleasuring men only.",1
"This argument conflates patriarchal society with Christian, Judaic and Muslim societies. There are plenty of examples of cultures where female sexuality is not shamed.","For centuries, patriarchal society has associated 'respectful' women with those who keep their sexual life private, or better, non-existent.",1
The assumption that women need to have the same attitudes as men towards sex in order to be happy invalidates womanhood and feminism.,"The sexual liberation movement does not dictate any particular pattern of behavior. On the contrary, the sexual revolution was a movement to recognize a woman's right to decide how, when, and with whom to have sex, free from societal stigma.",1
The assumption that women need to have the same attitudes as men towards sex in order to be happy invalidates womanhood and feminism.,"Though men gain power in society through their views on sex, women can gain just as much power through their attitudes and behavior towards sex as well.",1
The assumption that women need to have the same attitudes as men towards sex in order to be happy invalidates womanhood and feminism.,Sex is a fundamental human need. To suggest that women with a healthy appetite for hedonistic sex are emulating male values undermines their humanity.,1
The assumption that women need to have the same attitudes as men towards sex in order to be happy invalidates womanhood and feminism.,"Nothing about hedonistic sexuality - or the liberal attitudes to sexual satisfaction that come with it - suggests that it is the only way to be a fully realised, happy woman.",1
Men and women have different interests with regards to sex.,Feminism is about giving due consideration to the interests of both sexes.,1
